boar_id,gender,age_years,weight_kg,length_cm,shoulder_height_cm,tusk_length_cm,litter_size,health_score,territory_ha
49,Female,5.3,68.6,171.3,94.8,8.6,0.0,59,2.8
50,Male,5.7,70.0,130.6,89.1,9.2,,60,0.8
51,Female,6.9,70.7,147.7,78.7,8.6,0.0,71,5.3
52,Female,6.8,79.4,132.1,70.2,10.4,6.0,82,7.1
53,Female,1.5,62.4,132.8,86.4,8.2,5.0,91,3.9
54,Female,2.4,88.8,136.3,82.7,8.2,6.0,61,6.2
55,Female,5.6,41.1,151.2,88.7,4.8,0.0,100,7.6
56,Female,5.6,32.6,131.6,85.6,5.0,0.0,70,7.0
57,Male,5.6,88.0,180.2,90.6,5.5,,75,7.6
58,Male,12.0,97.9,120.0,71.6,25.0,,62,5.8
59,Male,5.8,102.8,139.8,93.8,3.4,,31,4.4
60,Male,7.0,56.9,132.7,80.4,9.4,,91,0.8
61,Male,6.6,46.6,185.5,102.9,9.7,,88,3.7
62,Male,5.9,116.9,150.5,69.7,18.2,,70,2.4
63,Female,3.8,99.0,173.9,98.8,6.7,4.0,76,8.8
64,Male,6.2,66.3,103.4,80.4,17.8,,84,3.8
65,Male,2.8,123.8,152.5,70.2,9.6,,47,4.5
66,Female,4.0,68.1,169.9,72.2,9.3,6.0,65,5.4
67,Male,3.4,114.5,147.3,74.2,7.4,,89,4.3
68,Female,4.7,59.0,174.8,83.1,17.7,0.0,52,7.8
69,Male,9.6,136.5,130.5,84.3,7.2,,80,2.9
70,Female,0.5,63.5,184.5,71.1,9.4,0.0,51,4.6
71,Female,6.0,88.9,209.4,77.7,10.9,6.0,83,2.6
72,Male,1.0,109.3,134.8,103.7,13.2,,74,1.4
73,Male,3.5,101.1,132.5,98.7,12.4,,46,2.9
74,Female,6.9,45.8,185.7,83.2,7.4,0.0,96,4.1
75,Female,4.6,37.2,189.2,78.5,8.2,0.0,62,3.3
76,Female,2.1,52.7,130.4,79.4,7.3,9.0,60,2.7
77,Female,2.9,56.0,133.2,85.4,12.3,3.0,79,1.2
78,Male,6.0,41.0,137.1,65.7,21.2,,96,4.0
79,Male,2.9,55.4,107.4,74.9,10.3,,57,1.0
80,Male,5.0,34.0,119.3,58.0,5.7,,76,5.8
81,Female,4.6,52.2,116.9,82.8,7.6,0.0,83,4.4
82,Female,3.1,47.3,123.5,85.8,19.6,0.0,87,1.1
83,Male,9.2,122.6,144.0,72.2,10.7,,78,3.6
84,Male,5.9,86.9,151.6,96.9,19.3,,68,2.6
85,Male,0.5,125.7,188.4,63.3,16.0,,60,4.9
86,Male,4.9,50.5,117.0,60.4,12.0,,77,7.0
87,Female,3.0,31.8,172.6,80.7,10.6,0.0,56,0.8
88,Female,6.4,31.7,139.0,90.6,15.3,9.0,22,4.4
89,Female,2.8,49.0,143.6,98.2,6.3,6.0,83,3.9
90,Male,4.2,84.2,163.9,72.5,9.3,,91,5.6
91,Male,5.6,33.3,113.6,90.9,8.1,,32,4.6
92,Female,6.4,27.9,155.7,77.5,3.4,6.0,57,2.6
93,Female,1.9,50.6,149.7,75.9,5.1,5.0,86,3.5
94,Female,3.8,50.1,158.8,88.6,2.5,6.0,100,2.5
95,Female,3.5,15.0,153.1,85.8,8.2,7.0,75,6.5
96,Male,3.1,61.5,210.0,59.1,7.3,,62,4.2
97,Female,8.4,50.8,127.1,95.7,9.1,0.0,72,8.2
98,Male,5.4,58.5,130.1,94.6,7.7,,100,4.1
99,Male,1.7,83.4,127.6,70.5,9.2,,63,2.7
100,Male,6.5,108.9,129.4,82.7,22.1,,61,1.0
101,Male,9.2,60.4,127.2,83.9,6.1,,66,0.8
102,Female,6.8,35.1,178.3,81.1,9.7,5.0,58,0.9
103,Male,1.2,71.7,184.8,71.4,17.9,,77,4.8
104,Male,3.4,65.2,129.0,69.9,6.5,,100,5.3
105,Female,7.3,55.3,121.7,77.7,15.5,8.0,81,0.9
106,Male,2.9,59.1,158.2,92.1,14.5,,70,6.1
107,Male,5.5,71.2,129.5,84.5,9.8,,70,3.2
108,Female,6.2,52.4,162.7,73.6,7.7,0.0,47,4.5
109,Male,2.5,134.1,150.7,87.3,15.8,,91,7.6
110,Male,4.4,85.9,102.6,50.0,13.4,,74,6.1
111,Male,0.5,67.5,188.3,91.8,14.6,,72,3.6
112,Male,2.2,90.3,195.3,57.1,7.5,,100,2.3
113,Female,3.9,42.2,127.8,73.7,8.8,7.0,80,0.8
114,Female,1.8,56.9,134.1,64.6,1.6,7.0,61,2.7
115,Female,8.1,50.4,153.0,62.5,7.5,8.0,67,3.8
116,Female,1.4,82.1,154.4,91.9,3.9,3.0,96,2.1
117,Female,3.5,15.0,163.4,72.4,4.7,6.0,77,3.9
118,Male,4.8,70.6,201.3,82.2,17.3,,49,4.4
119,Female,7.7,77.4,140.0,77.4,12.9,7.0,92,3.7
120,Female,1.3,17.7,122.6,83.7,10.7,6.0,63,2.8
121,Female,7.1,48.8,106.4,78.9,3.1,6.0,100,4.6
122,Female,4.5,48.3,124.5,62.6,6.6,6.0,94,5.1
123,Male,2.3,126.1,144.1,90.0,17.1,,67,1.9
124,Male,5.5,78.8,195.2,72.1,14.9,,98,7.2
125,Male,4.9,99.4,130.5,59.3,23.6,,76,4.0
126,Male,3.2,92.8,151.3,72.9,7.9,,90,4.2
127,Female,4.7,71.8,144.5,96.0,8.9,0.0,84,5.7
128,Female,3.7,77.9,178.3,88.2,6.6,0.0,60,4.7
129,Male,4.7,81.8,210.0,73.8,13.9,,63,6.2
130,Male,6.0,61.1,130.1,73.8,11.7,,94,4.8
131,Male,8.0,44.8,131.3,74.1,15.2,,69,2.9
132,Male,1.8,90.1,174.2,102.9,15.5,,68,5.0
133,Male,9.2,66.1,164.1,82.6,10.7,,58,1.8
134,Male,0.5,49.4,196.7,83.2,7.9,,83,4.4
135,Female,4.2,50.7,161.3,90.4,0.0,6.0,100,4.1
136,Male,5.8,58.0,134.9,80.9,12.8,,56,3.8
137,Male,5.1,127.2,161.5,74.9,7.8,,75,3.9
138,Female,3.1,63.0,176.0,75.6,0.0,5.0,100,0.8
139,Male,4.0,84.8,168.0,77.1,11.8,,74,3.0
140,Female,3.4,75.9,159.2,77.6,19.2,5.0,83,4.4
141,Female,3.2,35.5,174.9,86.7,8.0,6.0,56,4.5
142,Male,6.4,63.5,177.7,78.6,13.0,,83,2.0
143,Male,5.3,123.1,183.7,86.8,11.1,,72,6.9
144,Male,3.0,98.5,163.2,77.0,13.3,,93,2.4
145,Male,6.5,59.1,140.3,78.9,18.0,,96,6.2
146,Male,5.2,80.2,149.1,54.0,11.7,,100,5.1
147,Female,6.3,71.6,178.8,89.0,9.2,0.0,85,2.8
148,Male,5.9,50.4,122.1,82.2,14.9,,81,7.9
149,Male,2.7,108.2,155.3,90.0,10.0,,78,1.7
150,Male,3.3,132.7,134.0,50.0,15.2,,69,6.1
151,Female,6.1,42.3,145.8,103.1,7.2,0.0,81,6.3
152,Male,5.8,99.1,180.8,76.3,9.5,,70,2.8
153,Male,4.5,68.7,150.4,91.3,16.0,,78,7.1
154,Male,4.8,72.8,146.3,65.5,9.5,,99,3.7
155,Female,7.3,32.0,106.9,85.4,8.1,5.0,57,4.8
156,Male,3.2,63.4,165.9,65.4,14.4,,96,4.7
157,Female,5.7,17.5,163.1,70.5,12.9,6.0,99,3.9
158,Female,4.1,85.5,205.6,101.0,10.1,0.0,73,5.9
159,Male,4.0,91.8,136.4,75.7,13.3,,37,5.9
160,Female,6.9,53.3,151.1,80.6,11.7,6.0,64,0.8
161,Male,6.3,79.0,152.0,88.4,19.0,,98,6.9
162,Female,6.3,62.2,189.2,83.9,10.5,0.0,75,0.8
163,Female,7.4,54.3,142.3,79.8,8.0,6.0,57,6.4
164,Female,4.5,74.9,152.8,82.4,2.1,0.0,66,6.6
165,Male,6.0,97.5,162.0,106.8,9.3,,90,1.9
166,Female,3.8,57.7,150.2,77.3,6.6,0.0,85,3.3
167,Male,5.2,87.5,132.5,80.4,9.2,,71,1.9
168,Male,4.2,103.8,150.4,90.6,9.4,,68,3.7
169,Male,4.7,43.3,175.1,91.3,12.0,,68,3.6
170,Female,5.8,24.2,116.3,92.2,10.4,0.0,58,5.8
171,Female,2.7,30.7,148.7,85.7,7.7,4.0,100,7.0
172,Male,9.1,99.3,125.4,64.3,12.7,,69,7.1
173,Male,2.3,65.9,178.5,97.6,10.9,,97,3.0
174,Male,1.8,39.9,102.4,64.2,3.7,,100,3.8
175,Female,7.0,55.3,129.4,81.6,3.8,5.0,93,0.8
176,Male,6.2,86.2,155.6,68.9,9.8,,67,2.5
177,Female,5.9,45.3,188.8,77.2,2.6,7.0,82,6.2
178,Male,5.9,62.4,143.2,81.9,14.1,,75,7.6
179,Female,4.5,58.5,129.5,81.9,14.9,4.0,59,1.6
180,Male,2.5,43.5,197.7,83.1,13.7,,81,3.0
181,Male,4.7,83.3,104.5,97.4,11.4,,54,4.1
182,Male,3.0,54.7,83.4,83.4,18.7,,96,4.8
183,Female,6.6,73.5,157.3,75.1,8.7,6.0,67,2.5
184,Female,4.2,63.5,130.9,89.6,6.5,4.0,79,5.1
185,Male,2.7,63.5,116.4,92.3,7.6,,80,3.2
186,Female,3.8,72.7,164.8,63.3,6.6,0.0,70,4.2
187,Female,5.4,85.0,151.8,85.2,6.3,5.0,86,5.3
188,Female,3.3,73.3,129.2,86.4,8.8,5.0,66,4.2
189,Female,2.7,21.9,109.2,74.4,8.7,6.0,91,3.3
190,Male,5.0,56.8,169.4,94.5,13.3,,51,4.0
191,Male,5.0,98.2,163.2,76.2,15.9,,77,4.0
192,Female,3.4,55.5,142.2,79.5,13.4,5.0,100,3.4
193,Female,3.5,64.3,196.7,75.9,12.3,5.0,57,3.7
194,Female,5.0,41.9,115.0,78.2,1.3,6.0,63,7.6
195,Male,1.3,99.4,102.3,64.8,0.8,,84,5.4
196,Male,1.4,79.9,125.6,60.7,14.7,,78,3.6
197,Female,2.9,44.0,143.7,97.1,1.8,3.0,81,5.7
198,Female,4.0,29.7,151.8,67.8,7.0,7.0,84,3.5
199,Female,5.2,38.4,138.2,66.1,2.7,5.0,86,6.7
200,Female,7.7,30.7,154.9,52.2,0.0,0.0,95,5.0
